rank,name,symbol,price,pct_1h,pct_24h,pct_7d,pct_1h_vs_btc,pct_24h_vs_btc,pct_7d_vs_btc,market_cap_rank,market_cap,volume_usd,score
1,Figure Heloc,FIGR_HELOC,1.046,0.0,6.708934314875191,4.93215723629567,-0.12301878873086998,4.79432090162404,3.726957430724427,17,13317086587,56595165,1.8069898665797028
2,BNB,BNB,1032.62,0.12089079162169024,4.444648900701475,4.097322878948381,-0.002127997109179741,2.5300354874503244,2.8921230733771375,5,143959495308,2154003124,1.5778012607880423
3,Ethereum,ETH,4227.03,0.10263255090397702,2.349767350609472,0.7576240420210709,-0.02038623782689296,0.4351539373583213,-0.4475757635501725,2,510455548479,35352907940,0.9078409771544712
4,Bitcoin,BTC,114320.0,0.12301878873086998,1.9146134132511508,1.2051998055712434,0.0,0.0,0.0,1,2278727711534,58991459109,0.899591750970771
5,TRON,TRX,0.337435,0.22690890392054142,0.5971090341119915,-0.5923048786480776,0.10389011518967144,-1.3175043791391592,-1.797504684219321,10,31948345707,503206007,0.715746445458425
6,Chainlink,LINK,21.83,0.05093523898711901,0.7522542959325524,1.1446887960632104,-0.07208354974375097,-1.1623591173185983,-0.06051100950803301,14,14807276454,671595069,0.39854493730143264
7,Bitcoin Cash,BCH,561.58,-0.015017438564495816,0.6824532988647902,-0.7336485005034511,-0.1380362272953658,-1.2321601143863605,-1.9388483060746946,22,11193104260,277183119,0.09317746565841598
8,Litecoin,LTC,106.98,-0.014520593212026327,0.007042713709723211,0.7832103060419664,-0.1375393819428963,-1.9075706995414274,-0.421989499529277,27,8173011034,461119834,0.041180559343681436
9,USDT0,USDT0,1.0,-0.0019623383618285303,0.006781214637216814,-0.004567024206802763,-0.12498112709269851,-1.907832198613934,-1.2097668297780462,30,7638837791,465558458,0.02484641605023158
10,Stellar,XLM,0.372251,-0.12958207499540775,0.9548943237198753,1.2840085009444675,-0.2526008637262777,-0.9597190895312755,0.0788086953732241,20,11867807652,192764932,-0.020793406519293123
11,Shiba Inu,SHIB,1.2e-05,0.010269869141886712,-0.1516812201220144,-0.8222047126572538,-0.11274891958898327,-2.066294633373165,-2.027404518228497,32,7072285253,157974872,-0.029435642876631668
12,Solana,SOL,213.58,-0.1624291133005485,1.6913195106727112,-3.2316293205152,-0.28544790203141845,-0.2232939025784395,-4.436829126086444,6,116147473510,7008188563,-0.2145161441253992
13,XRP,XRP,2.89,-0.20607284015670452,0.8114342174377145,1.2435734450077305,-0.3290916288875745,-1.1031791958134363,0.038373639436487084,4,172812786754,4968962107,-0.24625901938855163
14,Cardano,ADA,0.809174,-0.06676494038103858,-0.24448049023114332,-2.13468161059332,-0.18978372911190855,-2.1590939034822942,-3.3398814161645634,11,29559939399,1318271314,-0.3308576210681723
15,Avalanche,AVAX,30.49,-0.13481552781240594,1.9928713388109092,-7.568637110170197,-0.25783431654327593,0.07825792555975841,-8.773836915741441,18,12877337534,1381139581,-0.35646161707523444
16,Hyperliquid,HYPE,46.49,-0.003857280419308678,-1.258443548882088,-3.0141598160540184,-0.12687606915017866,-3.1730569621332387,-4.219359621625262,19,12590071018,622134789,-0.4449136714599628
17,Hedera,HBAR,0.217387,-0.2678930308240229,0.3861954308924249,-1.8686753841686836,-0.39091181955489285,-1.5284179823587258,-3.073875189739927,25,9222085088,219652314,-0.7033385908067352
18,Sui,SUI,3.29,-0.2695655578794261,0.22474224746418214,-2.247185102280579,-0.39258434661029606,-1.6898711657869687,-3.4523849078518225,21,11745150648,1028756676,-0.7653176070592409
19,Toncoin,TON,2.7,-0.24936151318132793,-0.6590120995768665,-3.719650122084269,-0.3723803019121979,-2.573625512828017,-4.924849927655512,33,6880772081,112263403,-0.9997167960327348
20,Dogecoin,DOGE,0.236292,-0.3906382439943705,-0.08229123900914292,-1.5661879139057546,-0.5136570327252405,-1.9969046522602936,-2.771387719476998,9,35735910650,2314394153,-1.104312780642157
21,Cronos,CRO,0.191041,-0.17347624951776547,-1.4768976521445738,-9.022248053342695,-0.29649503824863543,-3.3915110653957248,-10.227447858913939,34,6656035243,50953261,-1.311416851511668
