name,symbol,market_cap_rank,usd_score,btc_score,quadrant,pct_1h,pct_24h,pct_7d,pct_1h_btc,pct_24h_btc,pct_7d_btc,price_usd,price_btc,market_cap,volume_usd
Stellar,XLM,17,1.177520250594173,1.384869073672732,A 強×強（本命）,1.155804682463558,1.1783607003229915,-4.636820051719872,1.051881193493579,2.131089616338622,-5.424079433826123,0.432688,3.67e-06,13533556716,387667783
Dogecoin,DOGE,9,1.1561471396832372,1.22065211988826,A 強×強（本命）,0.8084845803664007,1.9401811977468149,-0.42413988858585266,0.7049933033819538,2.8775703400577752,-1.2461765503931237,0.23471,1.99e-06,35252847372,2953521768
XRP,XRP,3,0.5967133952747983,0.6852623396223746,A 強×強（本命）,0.5277374746711438,1.2276370131876952,-5.1998214184405835,0.4493106709936517,2.1808299312667803,-5.982433009771298,3.15,2.673e-05,186964465493,6061442447
Hedera,HBAR,22,0.19071174486085626,0.35243480925379367,A 強×強（本命）,0.6345656334871204,-1.1790124263455004,-5.6570370942249415,0.5312529039134312,-0.17576244033718358,-6.435874195961208,0.251605,2.14e-06,10657351059,395671640
Sui,SUI,18,-0.01121465701365118,0.21931495671900972,C 弱×強（BTC重・アルト優勢）,0.7349530257353825,-2.899843298868501,-4.357287700287754,0.6563645626616827,-2.006960516643794,-5.146854728451813,3.74,3.177e-05,13138843420,1190581599
TRON,TRX,11,0.08996839493282226,0.0269530154293819,A 強×強（本命）,0.14396462256070358,-1.2499042801920914,5.018035963781677,0.041155550246812285,-0.3418495127559709,4.152730778854521,0.354203,3.01e-06,33530693154,1540556276
Wrapped stETH,WSTETH,12,-0.07902995605047602,0.01702698370793656,C 弱×強（BTC重・アルト優勢）,0.5486677150739776,-4.308993686000514,6.914966412012076,0.44544316939972833,-3.4203869234030697,6.030968827030017,5380.96,0.04570178,17039706578,76848435
Ethena USDe,USDE,21,0.05921182998624666,-0.013201103092615461,B 強×弱（USD強・BTC優位）,0.011726023031755902,0.0748971758084977,0.11896938235293883,-0.07947355467683112,0.9951341317200877,-0.7080785341986036,1.001,8.51e-06,11303302718,296725758
Bitcoin,BTC,1,0.00930144604842574,-0.01723230677337257,B 強×弱（USD強・BTC優位）,0.08429789557001004,-0.9180355570627664,0.8220511892374962,0.0,0.0,0.0,117728.0,1.0,2343379730169,39277364322
Bitcoin Cash,BCH,20,0.004744572588181596,-0.09077518052487579,B 強×弱（USD強・BTC優位）,-0.05908599750211912,-0.05355146879264109,1.1894240412715549,-0.15022100251881165,0.8655043398678977,0.35353347181536204,594.05,0.00504542,11829851398,307820760
Ethereum,ETH,2,-0.16801323687637745,-0.1104740326563412,D 弱×弱（様子見）,0.28763138628168583,-3.7721180934280016,6.638441697769664,0.20939190158229468,-2.866004523443706,5.925234730976453,4459.21,0.03787313,538380912334,40338406343
Hyperliquid,HYPE,13,-0.049210895675250554,-0.14413591727201713,D 弱×弱（様子見）,0.029227015686312113,-2.41443769888657,10.869573245113159,-0.06198852098231704,-1.4955397611616323,9.95430267868836,47.31,0.00040183,15797343829,333145385
BNB,BNB,5,-0.18643169170576113,-0.2308704019012057,D 弱×弱（様子見）,-0.0019096491047693052,-1.6683556657567398,3.333991070603622,-0.07992324810822338,-0.7641487606728591,2.4809296059488553,835.5,0.00709613,116448908446,1503816509
WETH,WETH,24,-0.2776308398044064,-0.26773759403477737,D 弱×弱（様子見）,0.21122427349303569,-3.72827580672565,6.900447856991241,0.11984277555451538,-2.8568333412629694,6.017380509974245,4459.99,0.03787978,10032843893,104672735
Wrapped eETH,WEETH,19,-0.26936992860298786,-0.2812960657198204,D 弱×弱（様子見）,0.18045177789390004,-3.5479932788398796,6.936510716614566,0.07760524740064123,-2.6523197067878135,6.053145466881405,4779.74,0.04059552,12415982031,21752419
Wrapped Beacon ETH,WBETH,16,-0.38944545587310914,-0.3907497282848612,D 弱×弱（様子見）,0.1650814927847856,-4.125449387991533,7.191714217209673,0.062250741622390755,-3.222662902365339,6.305428417586999,4795.16,0.04072643,14213584162,25734205
Cardano,ADA,10,0.012921230968218556,-0.4375189534999141,B 強×弱（USD強・BTC優位）,-0.9005812669926205,0.9712945780968117,18.065103323797167,-0.9778937665352092,1.9220736910042984,17.09043091520705,0.952838,8.09e-06,34780782374,3567231525
Solana,SOL,6,-0.6240922308506138,-0.6211503881846425,D 弱×弱（様子見）,-0.04150959769147342,-3.8603321576049994,3.9895008993855403,-0.11949230275987113,-2.9550492404318205,3.2940102739224626,188.36,0.00159975,101741018002,6902366030
Avalanche,AVAX,23,-0.7364164740260489,-0.6589952550412936,D 弱×弱（様子見）,0.08756804094820346,-4.01650781584396,-1.4951333511112366,0.009484635845375683,-3.1338933025345974,-2.3066969283336043,24.04,0.0002042,10161123649,848825416
Chainlink,LINK,15,-0.5621732064308987,-0.6981649392803726,D 弱×弱（様子見）,-0.2966675689811532,-2.4987425204534905,5.189076783952588,-0.39909884517623523,-1.5806384248180094,4.32299309681125,21.86,0.00018562,14819883096,1048789187
